tweet_id,favorites,retweets,user_followers,user_favourites,date_time
676957860086095872,2253,818,8333987,143197,2015-12-16 02:51:45+00:00
676949632774234114,1324,398,8333987,143197,2015-12-16 02:19:04+00:00
676948236477857792,2200,871,8333987,143197,2015-12-16 02:13:31+00:00
676946864479084545,1743,376,8333987,143197,2015-12-16 02:08:04+00:00
676942428000112642,2098,763,8333987,143197,2015-12-16 01:50:26+00:00
676936541936185344,12852,4976,8333987,143197,2015-12-16 01:27:03+00:00
676916996760600576,3004,1820,8333987,143197,2015-12-16 00:09:23+00:00
676897532954456065,2276,726,8333987,143197,2015-12-15 22:52:02+00:00
676864501615042560,2124,718,8333987,143197,2015-12-15 20:40:47+00:00
676821958043033607,23275,15807,8333987,143197,2015-12-15 17:51:44+00:00
676819651066732545,1826,678,8333987,143197,2015-12-15 17:42:34+00:00
676811746707918848,1433,430,8333987,143197,2015-12-15 17:11:09+00:00
676776431406465024,5058,2045,8333987,143197,2015-12-15 14:50:49+00:00
676617503762681856,2928,985,8333987,143197,2015-12-15 04:19:18+00:00
676613908052996102,1093,201,8333987,143197,2015-12-15 04:05:01+00:00
676606785097199616,1898,442,8333987,143197,2015-12-15 03:36:42+00:00
676603393314578432,1169,385,8333987,143197,2015-12-15 03:23:14+00:00
676593408224403456,4623,2176,8333987,143197,2015-12-15 02:43:33+00:00
676590572941893632,920,126,8333987,143197,2015-12-15 02:32:17+00:00
676588346097852417,2336,796,8333987,143197,2015-12-15 02:23:26+00:00
676582956622721024,1211,281,8333987,143197,2015-12-15 02:02:01+00:00
676575501977128964,2610,1126,8333987,143197,2015-12-15 01:32:24+00:00
676533798876651520,1890,562,8333987,143197,2015-12-14 22:46:41+00:00
676496375194980353,1533,535,8333987,143197,2015-12-14 20:17:59+00:00
676470639084101634,11707,4717,8333987,143197,2015-12-14 18:35:43+00:00
676440007570247681,1736,675,8334642,143198,2015-12-14 16:34:00+00:00
676430933382295552,1409,347,8333987,143197,2015-12-14 15:57:56+00:00
676263575653122048,2092,555,8333987,143197,2015-12-14 04:52:55+00:00
676237365392908289,1231,290,8333987,143197,2015-12-14 03:08:46+00:00
676219687039057920,76396,31324,8333987,143197,2015-12-14 01:58:31+00:00
676215927814406144,1759,587,8333987,143197,2015-12-14 01:43:35+00:00
676191832485810177,2301,1043,8333987,143197,2015-12-14 00:07:50+00:00
676146341966438401,1928,664,8333987,143197,2015-12-13 21:07:04+00:00
676121918416756736,2176,1167,8333987,143197,2015-12-13 19:30:01+00:00
676101918813499392,2837,1174,8333987,143197,2015-12-13 18:10:33+00:00
676098748976615425,3036,1441,8333987,143197,2015-12-13 17:57:57+00:00
676089483918516224,1323,438,8333987,143197,2015-12-13 17:21:08+00:00
675898130735476737,1633,572,8333987,143197,2015-12-13 04:40:46+00:00
675891555769696257,2145,867,8333987,143197,2015-12-13 04:14:39+00:00
675888385639251968,2397,966,8333987,143197,2015-12-13 04:02:03+00:00
675878199931371520,4202,1406,8333987,143197,2015-12-13 03:21:34+00:00
675870721063669760,1647,572,8333987,143197,2015-12-13 02:51:51+00:00
675853064436391936,2703,1306,8333987,143197,2015-12-13 01:41:41+00:00
675849018447167488,942,146,8333987,143197,2015-12-13 01:25:37+00:00
675845657354215424,2289,888,8333987,143197,2015-12-13 01:12:15+00:00
675822767435051008,1528,537,8333987,143197,2015-12-12 23:41:18+00:00
675820929667219457,1053,234,8333987,143197,2015-12-12 23:34:00+00:00
675798442703122432,10313,3421,8333987,143197,2015-12-12 22:04:39+00:00
675781562965868544,1639,473,8333987,143197,2015-12-12 20:57:34+00:00
675740360753160193,1174,347,8333987,143197,2015-12-12 18:13:51+00:00
675710890956750848,1898,823,8333987,143197,2015-12-12 16:16:45+00:00
675707330206547968,1987,693,8333987,143197,2015-12-12 16:02:36+00:00
675706639471788032,646,97,8333987,143197,2015-12-12 15:59:51+00:00
675534494439489536,1828,420,8333987,143197,2015-12-12 04:35:48+00:00
675531475945709568,1189,387,8333987,143197,2015-12-12 04:23:49+00:00
675522403582218240,1044,289,8333987,143197,2015-12-12 03:47:46+00:00
675517828909424640,1295,466,8333987,143197,2015-12-12 03:29:35+00:00
675501075957489664,17222,5869,8333987,143197,2015-12-12 02:23:01+00:00
675497103322386432,3156,1304,8333987,143197,2015-12-12 02:07:14+00:00
675489971617296384,1306,602,8333987,143197,2015-12-12 01:38:53+00:00
675483430902214656,1844,984,8333987,143197,2015-12-12 01:12:54+00:00
675432746517426176,1528,569,8333987,143197,2015-12-11 21:51:30+00:00
675372240448454658,1693,517,8333987,143197,2015-12-11 17:51:04+00:00
675362609739206656,1051,234,8333987,143197,2015-12-11 17:12:48+00:00
675354435921575936,32772,16984,8333987,143197,2015-12-11 16:40:19+00:00
675349384339542016,3937,2271,8333987,143197,2015-12-11 16:20:15+00:00
675334060156301312,2786,1294,8333987,143197,2015-12-11 15:19:21+00:00
675166823650848770,3626,1604,8333987,143197,2015-12-11 04:14:49+00:00
675153376133427200,6296,2600,8333987,143197,2015-12-11 03:21:23+00:00
675149409102012420,3739,1690,8333987,143197,2015-12-11 03:05:37+00:00
